trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-5-1,1:45:00,1:45:00,A-0,2
IE-6-1,1:30:00,1:30:00,B-0,1
IE-6-1,2:00:00,2:00:00,A-0,2
IE-7-1,1:45:00,1:45:00,B-0,1
IE-7-1,2:15:00,2:15:00,A-0,2
IE-8-1,2:00:00,2:00:00,B-0,1
IE-8-1,2:30:00,2:30:00,A-0,2
IE-9-1,2:15:00,2:15:00,B-0,1
IE-9-1,2:45:00,2:45:00,A-0,2
IE-10-1,2:30:00,2:30:00,B-0,1
IE-10-1,3:00:00,3:00:00,A-0,2
IE-11-1,2:45:00,2:45:00,B-0,1
IE-11-1,3:15:00,3:15:00,A-0,2
IE-12-1,3:00:00,3:00:00,B-0,1
IE-12-1,3:30:00,3:30:00,A-0,2
IE-13-1,3:15:00,3:15:00,B-0,1
IE-13-1,3:45:00,3:45:00,A-0,2
IE-14-1,3:30:00,3:30:00,B-0,1
IE-14-1,4:00:00,4:00:00,A-0,2
IE-15-1,3:45:00,3:45:00,B-0,1
IE-15-1,4:15:00,4:15:00,A-0,2
IE-16-1,4:00:00,4:00:00,B-0,1
IE-16-1,4:30:00,4:30:00,A-0,2
IE-17-1,4:15:00,4:15:00,B-0,1
IE-17-1,4:45:00,4:45:00,A-0,2
IE-18-1,4:30:00,4:30:00,B-0,1
IE-18-1,5:00:00,5:00:00,A-0,2
IE-19-1,4:45:00,4:45:00,B-0,1
IE-19-1,5:15:00,5:15:00,A-0,2
IE-20-1,5:00:00,5:00:00,B-0,1
IE-20-1,5:30:00,5:30:00,A-0,2
IE-21-1,5:15:00,5:15:00,B-0,1
IE-21-1,5:45:00,5:45:00,A-0,2
IE-22-1,5:30:00,5:30:00,B-0,1
IE-22-1,6:00:00,6:00:00,A-0,2
IE-23-1,5:45:00,5:45:00,B-0,1
IE-23-1,6:15:00,6:15:00,A-0,2
IE-24-1,6:00:00,6:00:00,B-0,1
IE-24-1,6:30:00,6:30:00,A-0,2
IE-25-1,6:15:00,6:15:00,B-0,1
IE-25-1,6:45:00,6:45:00,A-0,2
IE-26-1,6:30:00,6:30:00,B-0,1
IE-26-1,7:00:00,7:00:00,A-0,2
IE-27-1,6:45:00,6:45:00,B-0,1
IE-27-1,7:15:00,7:15:00,A-0,2
IE-28-1,7:00:00,7:00:00,B-0,1
IE-28-1,7:30:00,7:30:00,A-0,2
IE-29-1,7:15:00,7:15:00,B-0,1
IE-29-1,7:45:00,7:45:00,A-0,2
IE-30-1,7:30:00,7:30:00,B-0,1
IE-30-1,8:00:00,8:00:00,A-0,2
IE-31-1,7:45:00,7:45:00,B-0,1
IE-31-1,8:15:00,8:15:00,A-0,2
