from_stop_id,to_stop_id,min_transfer_time
23-1,23-3,30
23-1,23-4,30
23-1,23-5,30
23-2,23-0,30
23-2,23-1,30
23-2,23-3,30
23-2,23-4,30
23-2,23-5,30
23-3,23-0,30
23-3,23-1,30
23-3,23-2,30
23-3,23-4,30
23-3,23-5,30
23-4,23-0,30
23-4,23-1,30
23-4,23-2,30
23-4,23-3,30
23-4,23-5,30
23-5,23-0,30
23-5,23-1,30
23-5,23-2,30
23-5,23-3,30
23-5,23-4,30
24-0,24-1,30
24-0,24-2,30
24-0,24-3,30
24-0,24-4,30
24-0,24-5,30
24-1,24-0,30
24-1,24-2,30
24-1,24-3,30
24-1,24-4,30
24-1,24-5,30
24-2,24-0,30
24-2,24-1,30
24-2,24-3,30
24-2,24-4,30
24-2,24-5,30
24-3,24-0,30
24-3,24-1,30
24-3,24-2,30
24-3,24-4,30
24-3,24-5,30
24-4,24-0,30
24-4,24-1,30
24-4,24-2,30
24-4,24-3,30
24-4,24-5,30
24-5,24-0,30
24-5,24-1,30
24-5,24-2,30
24-5,24-3,30
24-5,24-4,30
25-0,25-1,30
25-0,25-2,30
25-0,25-3,30
25-0,25-4,30
25-0,25-5,30
25-1,25-0,30
25-1,25-2,30
25-1,25-3,30
25-1,25-4,30
25-1,25-5,30
25-2,25-0,30
25-2,25-1,30
25-2,25-3,30
25-2,25-4,30
25-2,25-5,30
25-3,25-0,30
25-3,25-1,30
25-3,25-2,30
25-3,25-4,30
25-3,25-5,30
25-4,25-0,30
25-4,25-1,30
25-4,25-2,30
25-4,25-3,30
25-4,25-5,30
25-5,25-0,30
25-5,25-1,30
25-5,25-2,30
25-5,25-3,30
25-5,25-4,30
26-0,26-1,30
26-0,26-2,30
26-0,26-3,30
26-0,26-4,30
26-0,26-5,30
26-1,26-0,30
26-1,26-2,30
26-1,26-3,30
26-1,26-4,30
26-1,26-5,30
26-2,26-0,30
26-2,26-1,30
26-2,26-3,30
26-2,26-4,30
26-2,26-5,30
26-3,26-0,30
26-3,26-1,30
26-3,26-2,30
26-3,26-4,30
26-3,26-5,30
26-4,26-0,30
26-4,26-1,30
26-4,26-2,30
26-4,26-3,30
26-4,26-5,30
26-5,26-0,30
26-5,26-1,30
26-5,26-2,30
26-5,26-3,30
26-5,26-4,30
27-0,27-1,30
27-0,27-2,30
27-0,27-3,30
27-0,27-4,30
27-0,27-5,30
27-1,27-0,30
27-1,27-2,30
27-1,27-3,30
27-1,27-4,30
27-1,27-5,30
27-2,27-0,30
27-2,27-1,30
27-2,27-3,30
27-2,27-4,30
27-2,27-5,30
27-3,27-0,30
27-3,27-1,30
27-3,27-2,30
27-3,27-4,30
27-3,27-5,30
27-4,27-0,30
27-4,27-1,30
27-4,27-2,30
27-4,27-3,30
27-4,27-5,30
27-5,27-0,30
27-5,27-1,30
27-5,27-2,30
27-5,27-3,30
27-5,27-4,30
28-0,28-1,30
28-0,28-2,30
28-0,28-3,30
28-0,28-4,30
28-0,28-5,30
28-1,28-0,30
28-1,28-2,30
28-1,28-3,30
28-1,28-4,30
28-1,28-5,30
28-2,28-0,30
28-2,28-1,30
28-2,28-3,30
28-2,28-4,30
28-2,28-5,30
28-3,28-0,30
28-3,28-1,30
28-3,28-2,30
28-3,28-4,30
28-3,28-5,30
28-4,28-0,30
28-4,28-1,30
28-4,28-2,30
28-4,28-3,30
28-4,28-5,30
28-5,28-0,30
28-5,28-1,30
28-5,28-2,30
28-5,28-3,30
28-5,28-4,30
29-0,29-1,30
29-0,29-2,30
29-0,29-3,30
29-0,29-4,30
29-0,29-5,30
29-1,29-0,30
29-1,29-2,30
29-1,29-3,30
29-1,29-4,30
29-1,29-5,30
29-2,29-0,30
29-2,29-1,30
29-2,29-3,30
29-2,29-4,30
29-2,29-5,30
29-3,29-0,30
29-3,29-1,30
29-3,29-2,30
29-3,29-4,30
29-3,29-5,30
29-4,29-0,30
29-4,29-1,30
29-4,29-2,30
29-4,29-3,30
29-4,29-5,30
29-5,29-0,30
29-5,29-1,30
29-5,29-2,30
29-5,29-3,30
29-5,29-4,30
30-0,30-1,30
30-0,30-2,30
30-0,30-3,30
30-0,30-4,30
30-0,30-5,30
30-1,30-0,30
30-1,30-2,30
30-1,30-3,30
30-1,30-4,30
30-1,30-5,30
30-2,30-0,30
30-2,30-1,30
30-2,30-3,30
30-2,30-4,30
30-2,30-5,30
30-3,30-0,30
30-3,30-1,30
30-3,30-2,30
30-3,30-4,30
30-3,30-5,30
30-4,30-0,30
30-4,30-1,30
30-4,30-2,30
30-4,30-3,30
30-4,30-5,30
30-5,30-0,30
30-5,30-1,30
30-5,30-2,30
30-5,30-3,30
30-5,30-4,30
35-0,35-1,30
35-0,35-2,30
35-0,35-3,30
35-0,35-4,30
35-0,35-5,30
35-1,35-0,30
35-1,35-2,30
35-1,35-3,30
35-1,35-4,30
35-1,35-5,30
35-2,35-0,30
35-2,35-1,30
35-2,35-3,30
35-2,35-4,30
35-2,35-5,30
35-3,35-0,30
35-3,35-1,30
35-3,35-2,30
35-3,35-4,30
35-3,35-5,30
35-4,35-0,30
35-4,35-1,30
35-4,35-2,30
35-4,35-3,30
35-4,35-5,30
35-5,35-0,30
35-5,35-1,30
35-5,35-2,30
35-5,35-3,30
35-5,35-4,30
36-0,36-1,30
36-0,36-2,30
36-0,36-3,30
36-0,36-4,30
36-0,36-5,30
36-1,36-0,30
36-1,36-2,30
36-1,36-3,30
36-1,36-4,30
36-1,36-5,30
36-2,36-0,30
36-2,36-1,30
36-2,36-3,30
36-2,36-4,30
36-2,36-5,30
36-3,36-0,30
36-3,36-1,30
36-3,36-2,30
36-3,36-4,30
36-3,36-5,30
36-4,36-0,30
36-4,36-1,30
36-4,36-2,30
36-4,36-3,30
36-4,36-5,30
36-5,36-0,30
36-5,36-1,30
36-5,36-2,30
36-5,36-3,30
36-5,36-4,30
38-0,38-1,30
38-0,38-2,30
38-0,38-3,30
38-0,38-4,30
38-0,38-5,30
38-1,38-0,30
38-1,38-2,30
38-1,38-3,30
38-1,38-4,30
38-1,38-5,30
38-2,38-0,30
38-2,38-1,30
38-2,38-3,30
38-2,38-4,30
38-2,38-5,30
38-3,38-0,30
38-3,38-1,30
38-3,38-2,30
38-3,38-4,30
38-3,38-5,30
38-4,38-0,30
38-4,38-1,30
38-4,38-2,30
38-4,38-3,30
38-4,38-5,30
38-5,38-0,30
38-5,38-1,30
38-5,38-2,30
38-5,38-3,30
38-5,38-4,30
39-0,39-1,30
39-0,39-2,30
39-0,39-3,30
39-0,39-4,30
39-0,39-5,30
39-1,39-0,30
39-1,39-2,30
39-1,39-3,30
39-1,39-4,30
39-1,39-5,30
39-2,39-0,30
39-2,39-1,30
39-2,39-3,30
39-2,39-4,30
39-2,39-5,30
39-3,39-0,30
39-3,39-1,30
39-3,39-2,30
39-3,39-4,30
39-3,39-5,30
39-4,39-0,30
39-4,39-1,30
39-4,39-2,30
39-4,39-3,30
39-4,39-5,30
39-5,39-0,30
39-5,39-1,30
39-5,39-2,30
39-5,39-3,30
39-5,39-4,30
40-0,40-1,30
40-0,40-2,30
40-0,40-3,30
40-0,40-4,30
40-0,40-5,30
40-1,40-0,30
40-1,40-2,30
40-1,40-3,30
40-1,40-4,30
40-1,40-5,30
40-2,40-0,30
40-2,40-1,30
40-2,40-3,30
40-2,40-4,30
40-2,40-5,30
40-3,40-0,30
40-3,40-1,30
40-3,40-2,30
40-3,40-4,30
40-3,40-5,30
40-4,40-0,30
40-4,40-1,30
40-4,40-2,30
40-4,40-3,30
40-4,40-5,30
40-5,40-0,30
40-5,40-1,30
40-5,40-2,30
40-5,40-3,30
40-5,40-4,30
41-0,41-1,30
41-0,41-2,30
41-0,41-3,30
41-0,41-4,30
41-0,41-5,30
41-1,41-0,30
41-1,41-2,30
41-1,41-3,30
41-1,41-4,30
41-1,41-5,30
41-2,41-0,30
41-2,41-1,30
41-2,41-3,30
41-2,41-4,30
41-2,41-5,30
41-3,41-0,30
41-3,41-1,30
41-3,41-2,30
41-3,41-4,30
41-3,41-5,30
41-4,41-0,30
41-4,41-1,30
41-4,41-2,30
41-4,41-3,30
41-4,41-5,30
41-5,41-0,30
41-5,41-1,30
41-5,41-2,30
41-5,41-3,30
41-5,41-4,30
46-0,46-1,30
46-0,46-2,30
46-0,46-3,30
46-0,46-4,30
46-0,46-5,30
46-1,46-0,30
46-1,46-2,30
46-1,46-3,30
46-1,46-4,30
46-1,46-5,30
46-2,46-0,30
46-2,46-1,30
46-2,46-3,30
46-2,46-4,30
46-2,46-5,30
46-3,46-0,30
46-3,46-1,30
46-3,46-2,30
46-3,46-4,30
46-3,46-5,30
46-4,46-0,30
46-4,46-1,30
46-4,46-2,30
46-4,46-3,30
46-4,46-5,30
46-5,46-0,30
46-5,46-1,30
46-5,46-2,30
46-5,46-3,30
46-5,46-4,30
47-0,47-1,30
47-0,47-2,30
47-0,47-3,30
47-0,47-4,30
47-0,47-5,30
47-1,47-0,30
47-1,47-2,30
47-1,47-3,30
47-1,47-4,30
47-1,47-5,30
47-2,47-0,30
47-2,47-1,30
47-2,47-3,30
47-2,47-4,30
47-2,47-5,30
47-3,47-0,30
47-3,47-1,30
47-3,47-2,30
47-3,47-4,30
47-3,47-5,30
47-4,47-0,30
47-4,47-1,30
47-4,47-2,30
47-4,47-3,30
47-4,47-5,30
47-5,47-0,30
47-5,47-1,30
47-5,47-2,30
47-5,47-3,30
47-5,47-4,30
48-0,48-1,30
48-0,48-2,30
48-0,48-3,30
48-0,48-4,30
48-0,48-5,30
48-1,48-0,30
48-1,48-2,30
48-1,48-3,30
48-1,48-4,30
48-1,48-5,30
48-2,48-0,30
48-2,48-1,30
48-2,48-3,30
48-2,48-4,30
48-2,48-5,30
48-3,48-0,30
48-3,48-1,30
48-3,48-2,30
48-3,48-4,30
48-3,48-5,30
48-4,48-0,30
48-4,48-1,30
48-4,48-2,30
48-4,48-3,30
48-4,48-5,30
48-5,48-0,30
48-5,48-1,30
48-5,48-2,30
48-5,48-3,30
48-5,48-4,30
49-0,49-1,30
49-0,49-2,30
49-0,49-3,30
49-0,49-4,30
49-0,49-5,30
49-1,49-0,30
49-1,49-2,30
49-1,49-3,30
49-1,49-4,30
49-1,49-5,30
49-2,49-0,30
49-2,49-1,30
49-2,49-3,30
49-2,49-4,30
49-2,49-5,30
49-3,49-0,30
49-3,49-1,30
49-3,49-2,30
49-3,49-4,30
49-3,49-5,30
49-4,49-0,30
49-4,49-1,30
49-4,49-2,30
49-4,49-3,30
49-4,49-5,30
49-5,49-0,30
49-5,49-1,30
49-5,49-2,30
49-5,49-3,30
49-5,49-4,30
51-0,51-1,30
51-0,51-2,30
51-0,51-3,30
51-0,51-4,30
51-0,51-5,30
51-1,51-0,30
51-1,51-2,30
51-1,51-3,30
51-1,51-4,30
51-1,51-5,30
51-2,51-0,30
51-2,51-1,30
51-2,51-3,30
51-2,51-4,30
51-2,51-5,30
51-3,51-0,30
51-3,51-1,30
51-3,51-2,30
51-3,51-4,30
51-3,51-5,30
51-4,51-0,30
51-4,51-1,30
51-4,51-2,30
51-4,51-3,30
51-4,51-5,30
51-5,51-0,30
51-5,51-1,30
51-5,51-2,30
51-5,51-3,30
51-5,51-4,30
54-0,54-1,30
54-0,54-2,30
54-0,54-3,30
54-0,54-4,30
54-0,54-5,30
54-1,54-0,30
54-1,54-2,30
54-1,54-3,30
54-1,54-4,30
54-1,54-5,30
54-2,54-0,30
54-2,54-1,30
54-2,54-3,30
54-2,54-4,30
54-2,54-5,30
54-3,54-0,30
54-3,54-1,30
54-3,54-2,30
54-3,54-4,30
54-3,54-5,30
54-4,54-0,30
54-4,54-1,30
54-4,54-2,30
54-4,54-3,30
54-4,54-5,30
54-5,54-0,30
54-5,54-1,30
54-5,54-2,30
54-5,54-3,30
54-5,54-4,30
55-0,55-1,30
55-0,55-2,30
55-0,55-3,30
55-0,55-4,30
55-0,55-5,30
55-1,55-0,30
55-1,55-2,30
55-1,55-3,30
55-1,55-4,30
55-1,55-5,30
55-2,55-0,30
55-2,55-1,30
55-2,55-3,30
55-2,55-4,30
55-2,55-5,30
55-3,55-0,30
55-3,55-1,30
55-3,55-2,30
55-3,55-4,30
55-3,55-5,30
55-4,55-0,30
55-4,55-1,30
55-4,55-2,30
55-4,55-3,30
55-4,55-5,30
55-5,55-0,30
55-5,55-1,30
55-5,55-2,30
55-5,55-3,30
55-5,55-4,30
56-0,56-1,30
56-0,56-2,30
56-0,56-3,30
56-0,56-4,30
56-0,56-5,30
56-1,56-0,30
56-1,56-2,30
56-1,56-3,30
56-1,56-4,30
56-1,56-5,30
56-2,56-0,30
56-2,56-1,30
56-2,56-3,30
56-2,56-4,30
56-2,56-5,30
56-3,56-0,30
56-3,56-1,30
56-3,56-2,30
56-3,56-4,30
56-3,56-5,30
56-4,56-0,30
56-4,56-1,30
56-4,56-2,30
56-4,56-3,30
56-4,56-5,30
56-5,56-0,30
56-5,56-1,30
56-5,56-2,30
56-5,56-3,30
56-5,56-4,30
57-0,57-1,30
57-0,57-2,30
57-0,57-3,30
57-0,57-4,30
57-0,57-5,30
57-1,57-0,30
57-1,57-2,30
57-1,57-3,30
57-1,57-4,30
57-1,57-5,30
57-2,57-0,30
57-2,57-1,30
57-2,57-3,30
57-2,57-4,30
57-2,57-5,30
57-3,57-0,30
57-3,57-1,30
57-3,57-2,30
57-3,57-4,30
57-3,57-5,30
57-4,57-0,30
57-4,57-1,30
57-4,57-2,30
57-4,57-3,30
57-4,57-5,30
57-5,57-0,30
57-5,57-1,30
57-5,57-2,30
57-5,57-3,30
57-5,57-4,30
58-0,58-1,30
58-0,58-2,30
58-0,58-3,30
58-0,58-4,30
58-0,58-5,30
58-1,58-0,30
58-1,58-2,30
58-1,58-3,30
58-1,58-4,30
58-1,58-5,30
58-2,58-0,30
58-2,58-1,30
58-2,58-3,30
58-2,58-4,30
58-2,58-5,30
58-3,58-0,30
58-3,58-1,30
58-3,58-2,30
58-3,58-4,30
58-3,58-5,30
58-4,58-0,30
58-4,58-1,30
58-4,58-2,30
58-4,58-3,30
58-4,58-5,30
58-5,58-0,30
58-5,58-1,30
58-5,58-2,30
58-5,58-3,30
58-5,58-4,30
59-0,59-1,30
59-0,59-2,30
59-0,59-3,30
59-0,59-4,30
59-0,59-5,30
59-1,59-0,30
59-1,59-2,30
59-1,59-3,30
59-1,59-4,30
59-1,59-5,30
59-2,59-0,30
59-2,59-1,30
59-2,59-3,30
59-2,59-4,30
59-2,59-5,30
59-3,59-0,30
59-3,59-1,30
59-3,59-2,30
59-3,59-4,30
59-3,59-5,30
59-4,59-0,30
59-4,59-1,30
59-4,59-2,30
59-4,59-3,30
59-4,59-5,30
59-5,59-0,30
59-5,59-1,30
59-5,59-2,30
59-5,59-3,30
59-5,59-4,30
60-0,60-1,30
60-0,60-2,30
60-0,60-3,30
60-0,60-4,30
60-0,60-5,30
60-1,60-0,30
60-1,60-2,30
60-1,60-3,30
60-1,60-4,30
60-1,60-5,30
60-2,60-0,30
60-2,60-1,30
60-2,60-3,30
60-2,60-4,30
60-2,60-5,30
60-3,60-0,30
60-3,60-1,30
60-3,60-2,30
60-3,60-4,30
60-3,60-5,30
60-4,60-0,30
60-4,60-1,30
60-4,60-2,30
60-4,60-3,30
60-4,60-5,30
60-5,60-0,30
60-5,60-1,30
60-5,60-2,30
60-5,60-3,30
60-5,60-4,30
61-0,61-1,30
61-0,61-2,30
61-0,61-3,30
61-0,61-4,30
61-0,61-5,30
61-1,61-0,30
61-1,61-2,30
61-1,61-3,30
61-1,61-4,30
61-1,61-5,30
61-2,61-0,30
61-2,61-1,30
61-2,61-3,30
61-2,61-4,30
61-2,61-5,30
61-3,61-0,30
61-3,61-1,30
61-3,61-2,30
61-3,61-4,30
61-3,61-5,30
61-4,61-0,30
61-4,61-1,30
61-4,61-2,30
61-4,61-3,30
61-4,61-5,30
61-5,61-0,30
61-5,61-1,30
61-5,61-2,30
61-5,61-3,30
61-5,61-4,30
64-0,64-1,30
64-0,64-2,30
64-0,64-3,30
64-0,64-4,30
64-0,64-5,30
64-1,64-0,30
64-1,64-2,30
64-1,64-3,30
64-1,64-4,30
64-1,64-5,30
64-2,64-0,30
64-2,64-1,30
64-2,64-3,30
64-2,64-4,30
64-2,64-5,30
64-3,64-0,30
64-3,64-1,30
64-3,64-2,30
64-3,64-4,30
64-3,64-5,30
64-4,64-0,30
64-4,64-1,30
64-4,64-2,30
64-4,64-3,30
64-4,64-5,30
64-5,64-0,30
64-5,64-1,30
64-5,64-2,30
64-5,64-3,30
64-5,64-4,30
66-0,66-1,30
66-0,66-2,30
66-0,66-3,30
66-0,66-4,30
66-0,66-5,30
66-1,66-0,30
66-1,66-2,30
66-1,66-3,30
66-1,66-4,30
66-1,66-5,30
66-2,66-0,30
66-2,66-1,30
66-2,66-3,30
66-2,66-4,30
66-2,66-5,30
66-3,66-0,30
66-3,66-1,30
66-3,66-2,30
66-3,66-4,30
66-3,66-5,30
66-4,66-0,30
66-4,66-1,30
66-4,66-2,30
66-4,66-3,30
66-4,66-5,30
66-5,66-0,30
66-5,66-1,30
66-5,66-2,30
66-5,66-3,30
66-5,66-4,30
67-0,67-1,30
67-0,67-2,30
67-0,67-3,30
67-0,67-4,30
67-0,67-5,30
67-1,67-0,30
67-1,67-2,30
67-1,67-3,30
67-1,67-4,30
67-1,67-5,30
67-2,67-0,30
67-2,67-1,30
67-2,67-3,30
67-2,67-4,30
67-2,67-5,30
67-3,67-0,30
67-3,67-1,30
67-3,67-2,30
67-3,67-4,30
67-3,67-5,30
67-4,67-0,30
67-4,67-1,30
67-4,67-2,30
67-4,67-3,30
67-4,67-5,30
67-5,67-0,30
67-5,67-1,30
67-5,67-2,30
67-5,67-3,30
67-5,67-4,30
68-0,68-1,30
68-0,68-2,30
68-0,68-3,30
68-0,68-4,30
68-0,68-5,30
68-1,68-0,30
68-1,68-2,30
68-1,68-3,30
68-1,68-4,30
68-1,68-5,30
68-2,68-0,30
68-2,68-1,30
68-2,68-3,30
68-2,68-4,30
68-2,68-5,30
68-3,68-0,30
68-3,68-1,30
68-3,68-2,30
68-3,68-4,30
68-3,68-5,30
68-4,68-0,30
68-4,68-1,30
68-4,68-2,30
68-4,68-3,30
68-4,68-5,30
68-5,68-0,30
68-5,68-1,30
68-5,68-2,30
68-5,68-3,30
68-5,68-4,30
69-0,69-1,30
69-0,69-2,30
69-0,69-3,30
69-0,69-4,30
69-0,69-5,30
69-1,69-0,30
69-1,69-2,30
69-1,69-3,30
69-1,69-4,30
69-1,69-5,30
69-2,69-0,30
69-2,69-1,30
69-2,69-3,30
69-2,69-4,30
69-2,69-5,30
69-3,69-0,30
69-3,69-1,30
69-3,69-2,30
69-3,69-4,30
69-3,69-5,30
69-4,69-0,30
69-4,69-1,30
69-4,69-2,30
69-4,69-3,30
69-4,69-5,30
69-5,69-0,30
69-5,69-1,30
69-5,69-2,30
69-5,69-3,30
69-5,69-4,30
74-0,74-1,30
74-0,74-2,30
74-0,74-3,30
74-0,74-4,30
74-0,74-5,30
74-1,74-0,30
74-1,74-2,30
74-1,74-3,30
74-1,74-4,30
74-1,74-5,30
74-2,74-0,30
74-2,74-1,30
74-2,74-3,30
74-2,74-4,30
74-2,74-5,30
74-3,74-0,30
74-3,74-1,30
74-3,74-2,30
74-3,74-4,30
74-3,74-5,30
74-4,74-0,30
74-4,74-1,30
74-4,74-2,30
74-4,74-3,30
74-4,74-5,30
74-5,74-0,30
74-5,74-1,30
74-5,74-2,30
74-5,74-3,30
74-5,74-4,30
75-0,75-1,30
75-0,75-2,30
75-0,75-3,30
75-0,75-4,30
75-0,75-5,30
75-1,75-0,30
75-1,75-2,30
75-1,75-3,30
75-1,75-4,30
75-1,75-5,30
75-2,75-0,30
75-2,75-1,30
75-2,75-3,30
75-2,75-4,30
75-2,75-5,30
75-3,75-0,30
75-3,75-1,30
75-3,75-2,30
75-3,75-4,30
75-3,75-5,30
75-4,75-0,30
75-4,75-1,30
75-4,75-2,30
75-4,75-3,30
75-4,75-5,30
75-5,75-0,30
75-5,75-1,30
75-5,75-2,30
75-5,75-3,30
75-5,75-4,30
76-0,76-1,30
76-0,76-2,30
76-0,76-3,30
76-0,76-4,30
76-0,76-5,30
76-1,76-0,30
76-1,76-2,30
76-1,76-3,30
76-1,76-4,30
76-1,76-5,30
76-2,76-0,30
76-2,76-1,30
76-2,76-3,30
76-2,76-4,30
76-2,76-5,30
76-3,76-0,30
76-3,76-1,30
76-3,76-2,30
76-3,76-4,30
76-3,76-5,30
76-4,76-0,30
76-4,76-1,30
76-4,76-2,30
76-4,76-3,30
76-4,76-5,30
76-5,76-0,30
76-5,76-1,30
76-5,76-2,30
76-5,76-3,30
76-5,76-4,30
77-0,77-1,30
77-0,77-2,30
77-0,77-3,30
77-0,77-4,30
77-0,77-5,30
77-1,77-0,30
77-1,77-2,30
77-1,77-3,30
77-1,77-4,30
77-1,77-5,30
77-2,77-0,30
77-2,77-1,30
77-2,77-3,30
77-2,77-4,30
77-2,77-5,30
77-3,77-0,30
77-3,77-1,30
77-3,77-2,30
77-3,77-4,30
77-3,77-5,30
77-4,77-0,30
77-4,77-1,30
77-4,77-2,30
77-4,77-3,30
77-4,77-5,30
77-5,77-0,30
77-5,77-1,30
77-5,77-2,30
77-5,77-3,30
77-5,77-4,30
79-0,79-1,30
79-0,79-2,30
79-0,79-3,30
79-0,79-4,30
79-0,79-5,30
79-1,79-0,30
79-1,79-2,30
79-1,79-3,30
79-1,79-4,30
79-1,79-5,30
79-2,79-0,30
79-2,79-1,30
79-2,79-3,30
79-2,79-4,30
79-2,79-5,30
79-3,79-0,30
79-3,79-1,30
79-3,79-2,30
79-3,79-4,30
79-3,79-5,30
79-4,79-0,30
79-4,79-1,30
79-4,79-2,30
79-4,79-3,30
79-4,79-5,30
79-5,79-0,30
79-5,79-1,30
79-5,79-2,30
79-5,79-3,30
79-5,79-4,30
80-0,80-1,30
80-0,80-2,30
80-0,80-3,30
80-0,80-4,30
80-0,80-5,30
80-1,80-0,30
80-1,80-2,30
80-1,80-3,30
80-1,80-4,30
80-1,80-5,30
80-2,80-0,30
80-2,80-1,30
80-2,80-3,30
80-2,80-4,30
80-2,80-5,30
